; 1; 2; 3; 4
F1; 1.5; 4.0; 3.0; 1.5
F2; 1.5; 3.0; 4.0; 1.5
F3; 1.0; 2.5; 2.5; 4.0
F4; 4.0; 3.0; 2.0; 1.0
F5; 3.5; 2.0; 1.0; 3.5
F6; 4.0; 2.0; 1.0; 3.0
F7; 2.0; 3.0; 1.0; 4.0
F8; 2.0; 3.0; 1.0; 4.0
F9; 2.0; 4.0; 1.0; 3.0
F10; 4.0; 2.5; 1.0; 2.5
F11; 1.0; 4.0; 3.0; 2.0
F12; 1.0; 4.0; 3.0; 2.0
F13; 3.0; 2.0; 4.0; 1.0
F14; 1.0; 4.0; 2.5; 2.5
F15; 1.0; 4.0; 2.0; 3.0
F16; 1.0; 4.0; 2.0; 3.0
