Algorithm,Problem,Exp,Indicator,Value,obj
3,1,17,3,0.852026958514595,3
3,1,18,1,30.1343281,3
3,1,18,2,0.117073877692853,3
3,1,18,3,0.853090316702161,3
3,1,19,1,29.9439337,3
3,1,19,2,0.117077687670448,3
3,1,19,3,0.853072526787373,3
3,1,20,1,29.6950634,3
3,1,20,2,0.11715103185669,3
3,1,20,3,0.852770173838257,3
4,1,1,1,136.4196974,3
4,1,1,2,0.118769595205119,3
4,1,1,3,0.848304480251438,3
4,1,2,1,134.5751144,3
4,1,2,2,0.119210404968391,3
4,1,2,3,0.84978434081245,3
4,1,3,1,140.86649,3
4,1,3,2,0.119585201440199,3
4,1,3,3,0.848448616336805,3
4,1,4,1,136.1038259,3
4,1,4,2,0.119319819011905,3
4,1,4,3,0.849363413796533,3
4,1,5,1,138.6647692,3
4,1,5,2,0.119270714876532,3
4,1,5,3,0.849131605848919,3
4,1,6,1,127.8431512,3
4,1,6,2,0.120199297193756,3
4,1,6,3,0.849751816188329,3
4,1,7,1,136.0490947,3
4,1,7,2,0.119252595941043,3
4,1,7,3,0.847992646060367,3
4,1,8,1,136.2930504,3
4,1,8,2,0.120316750970989,3
4,1,8,3,0.847434206323761,3
4,1,9,1,139.1635452,3
4,1,9,2,0.120015706236367,3
4,1,9,3,0.848202633699428,3
4,1,10,1,139.8303307,3
4,1,10,2,0.526162971299233,3
4,1,10,3,0.848622000295036,3
4,1,11,1,136.1810783,3
4,1,11,2,0.118769595205119,3
4,1,11,3,0.848304480251438,3
4,1,12,1,136.3289445,3
4,1,12,2,0.119334404495355,3
4,1,12,3,0.84748261393275,3
4,1,13,1,135.2991116,3
4,1,13,2,0.120404799043829,3
4,1,13,3,0.848041466485236,3
4,1,14,1,143.805112,3
4,1,14,2,0.119076878451274,3
4,1,14,3,0.848009034022331,3
4,1,15,1,140.8979203,3
4,1,15,2,0.1197272325233,3
4,1,15,3,0.84815655942936,3
4,1,16,1,137.6848645,3
4,1,16,2,0.119184033669987,3
4,1,16,3,0.847846126350591,3
4,1,17,1,140.612467,3
4,1,17,2,0.120007945906389,3
4,1,17,3,0.84874258415585,3
4,1,18,1,139.5643462,3
4,1,18,2,0.119928429747822,3
4,1,18,3,0.848800492415836,3
4,1,19,1,138.1231279,3
4,1,19,2,0.119033375631209,3
4,1,19,3,0.849389480238991,3
4,1,20,1,140.9327554,3
4,1,20,2,0.119047082968292,3
4,1,20,3,0.84646983933108,3
1,2,1,1,2.2042335,3
1,2,1,2,0.218042763514684,3
1,2,1,3,0.5506209087216,3
1,2,2,1,2.2088914,3
1,2,2,2,0.218017755856269,3
1,2,2,3,0.552641992543508,3
1,2,3,1,2.2593348,3
1,2,3,2,0.225128042871665,3
1,2,3,3,0.552874060239891,3
1,2,4,1,2.3098739,3
1,2,4,2,0.224604931020634,3
1,2,4,3,0.554001727188163,3
1,2,5,1,2.2192171,3
1,2,5,2,0.222226065110776,3
1,2,5,3,0.552166609910482,3
