Algorithm,Problem,Exp,obj,Indicator,value
MOEA/D,F1,20,3D,DeltaP,0.999792550731321
MOEA/D,F1,20,5D,DeltaP,0.95750265965443
MOEA/D,F1,20,7D,DeltaP,0.999341190073526
MOEA/D,F1,20,10D,DeltaP,0.999418039587626
MOEA/D,F1,20,15D,DeltaP,0.998943600948101
MOEA/D,F2,1,3D,DeltaP,0.99999254051251
MOEA/D,F2,1,5D,DeltaP,0.791372822369788
MOEA/D,F2,1,7D,DeltaP,0.999683424651945
MOEA/D,F2,1,10D,DeltaP,0.999374567332253
MOEA/D,F2,1,15D,DeltaP,0.951457984680891
MOEA/D,F2,2,3D,DeltaP,0.999975483743353
MOEA/D,F2,2,5D,DeltaP,0.791394554447683
MOEA/D,F2,2,7D,DeltaP,0.999705262065925
MOEA/D,F2,2,10D,DeltaP,0.99943021491056
MOEA/D,F2,2,15D,DeltaP,0.952340897333717
MOEA/D,F2,3,3D,DeltaP,0.999964651808125
MOEA/D,F2,3,5D,DeltaP,0.791341575832471
MOEA/D,F2,3,7D,DeltaP,0.99968453949692
MOEA/D,F2,3,10D,DeltaP,0.999376085254968
MOEA/D,F2,3,15D,DeltaP,0.952574737920391
MOEA/D,F2,4,3D,DeltaP,0.999952804711115
MOEA/D,F2,4,5D,DeltaP,0.791403059110827
MOEA/D,F2,4,7D,DeltaP,0.999797186493481
MOEA/D,F2,4,10D,DeltaP,0.99927346946558
MOEA/D,F2,4,15D,DeltaP,0.951407401624668
MOEA/D,F2,5,3D,DeltaP,0.999985396152755
MOEA/D,F2,5,5D,DeltaP,0.791438965509119
MOEA/D,F2,5,7D,DeltaP,0.999605421762779
MOEA/D,F2,5,10D,DeltaP,0.999249959420937
MOEA/D,F2,5,15D,DeltaP,0.952305993947139
MOEA/D,F2,6,3D,DeltaP,0.999961805469521
MOEA/D,F2,6,5D,DeltaP,0.791368016494564
MOEA/D,F2,6,7D,DeltaP,0.999710238868271
MOEA/D,F2,6,10D,DeltaP,0.999522760226611
MOEA/D,F2,6,15D,DeltaP,0.951006203172063
MOEA/D,F2,7,3D,DeltaP,0.999958045003157
MOEA/D,F2,7,5D,DeltaP,0.791396368278262
MOEA/D,F2,7,7D,DeltaP,0.999696063520748
MOEA/D,F2,7,10D,DeltaP,0.999433392642268
MOEA/D,F2,7,15D,DeltaP,0.951730193031683
MOEA/D,F2,8,3D,DeltaP,0.999962354018322
MOEA/D,F2,8,5D,DeltaP,0.791419066096227
MOEA/D,F2,8,7D,DeltaP,0.999720185060482
MOEA/D,F2,8,10D,DeltaP,0.99927292030707
MOEA/D,F2,8,15D,DeltaP,0.954409464408534
MOEA/D,F2,9,3D,DeltaP,0.999978267174964
MOEA/D,F2,9,5D,DeltaP,0.791375298971038
MOEA/D,F2,9,7D,DeltaP,0.999718091817217
MOEA/D,F2,9,10D,DeltaP,0.999322888549912
MOEA/D,F2,9,15D,DeltaP,0.957259741516506
MOEA/D,F2,10,3D,DeltaP,0.999966883305615
MOEA/D,F2,10,5D,DeltaP,0.791384658608952
MOEA/D,F2,10,7D,DeltaP,0.999714808464078
